easting,northing,magnetic_anomaly,extra_coord
-324002.1391350907,4217552.704040004,-156.54519813257482,1500.0
-324002.1391350907,4218052.52644623,-154.98921123594135,1500.0
-324002.1391350907,4218552.348852456,-153.40026164701973,1500.0
-324002.1391350907,4219052.171258682,-151.77805626173446,1500.0
-324002.1391350907,4219551.993664908,-150.15710060641948,1500.0
-324002.1391350907,4220051.816071134,-148.60672362848524,1500.0
-324002.1391350907,4220551.63847736,-147.19377143546404,1500.0
-324002.1391350907,4221051.460883586,-145.9502890675169,1500.0
-324002.1391350907,4221551.283289812,-144.86150178448912,1500.0
-324002.1391350907,4222051.105696037,-143.8540848181198,1500.0
-324002.1391350907,4222550.928102264,-142.78683215084493,1500.0
-324002.1391350907,4223050.75050849,-141.4866580749926,1500.0
-324002.1391350907,4223550.572914716,-139.8508078245285,1500.0
-324002.1391350907,4224050.395320942,-137.93225684179518,1500.0
-324002.1391350907,4224550.2177271675,-135.90549721693023,1500.0
-324002.1391350907,4225050.040133393,-133.95750849168937,1500.0
-324002.1391350907,4225549.86253962,-132.2171356763582,1500.0
-324002.1391350907,4226049.684945846,-130.74804226891578,1500.0
-324002.1391350907,4226549.507352072,-129.56773952044531,1500.0
-324002.1391350907,4227049.329758298,-128.66380437502028,1500.0
-324002.1391350907,4227549.1521645235,-128.0001269262901,1500.0
-324002.1391350907,4228048.974570749,-127.51800825819387,1500.0
-324002.1391350907,4228548.796976975,-127.1434265729098,1500.0
-324002.1391350907,4229048.619383202,-126.8111461659126,1500.0
-324002.1391350907,4229548.441789428,-126.49861196445153,1500.0
-324002.1391350907,4230048.264195654,-126.24030551544186,1500.0
-324002.1391350907,4230548.086601879,-126.1054996039098,1500.0
-324002.1391350907,4231047.909008105,-126.158672637185,1500.0
-324002.1391350907,4231547.731414331,-126.42494974724283,1500.0
-324002.1391350907,4232047.553820558,-126.85824206831329,1500.0
-324002.1391350907,4232547.376226784,-127.31419713592685,1500.0
-324002.1391350907,4233047.19863301,-127.58064594407476,1500.0
-324002.1391350907,4233547.021039235,-127.51163379082598,1500.0
-324002.1391350907,4234046.843445461,-127.13204980434045,1500.0
-324002.1391350907,4234546.665851687,-126.55692421418813,1500.0
-324002.1391350907,4235046.488257913,-125.8848318373983,1500.0
-324002.1391350907,4235546.31066414,-125.2185076537902,1500.0
-324002.1391350907,4236046.1330703655,-124.68539639468877,1500.0
-324002.1391350907,4236545.955476591,-124.38718192003863,1500.0
-324002.1391350907,4237045.777882817,-124.36461672403973,1500.0
-324002.1391350907,4237545.600289043,-124.59898380008447,1500.0
-324002.1391350907,4238045.422695269,-125.0031422246342,1500.0
-324002.1391350907,4238545.245101496,-125.41107583829444,1500.0
-324002.1391350907,4239045.0675077215,-125.63826221055838,1500.0
-324002.1391350907,4239544.889913947,-125.58516038518805,1500.0
-324002.1391350907,4240044.712320173,-125.21212231842286,1500.0
-324002.1391350907,4240544.534726399,-124.42492500308562,1500.0
